148,Nilphamari Express,Dhaka,Nilphamari,150,150,700.000000,400.000000,03:45 PM,Both
149,Panchagarh Express,Dhaka,Panchagarh,150,150,700.000000,400.000000,04:15 PM,Both
150,Thakurgaon Express,Dhaka,Thakurgaon,150,150,700.000000,400.000000,04:45 PM,Both
151,Joypurhat Express,Dhaka,Joypurhat,150,150,700.000000,400.000000,05:15 PM,Both
152,Naogaon Express,Dhaka,Naogaon,150,150,700.000000,400.000000,05:45 PM,Both
153,Natore Express,Dhaka,Natore,150,150,700.000000,400.000000,06:15 PM,Both
154,Chapainawabganj,Dhaka,Chapainawabganj,150,150,700.000000,400.000000,06:45 PM,Both
155,Pirojpur Express,Dhaka,Pirojpur,150,150,700.000000,400.000000,07:15 PM,Both
156,Bagerhat Express,Dhaka,Bagerhat,150,150,700.000000,400.000000,07:45 PM,Both
157,Jhalokati Express,Dhaka,Jhalokati,150,150,700.000000,400.000000,08:15 PM,Both
158,Barguna Express,Dhaka,Barguna,150,150,700.000000,400.000000,08:45 PM,Both
159,Bandarban Express,Dhaka,Bandarban,150,150,700.000000,400.000000,09:15 PM,Both
160,Rangamati Express,Dhaka,Rangamati,150,150,700.000000,400.000000,09:45 PM,Both
161,Khagrachhari Express,Dhaka,Khagrachhari,150,150,700.000000,400.000000,10:15 PM,Both
162,Sirajganj Express,Dhaka,Sirajganj,150,150,700.000000,400.000000,10:45 PM,Both
163,Nawabganj Express,Dhaka,Nawabganj,150,150,700.000000,400.000000,11:15 PM,Both
164,Mongla Express,Dhaka,Mongla,150,150,700.000000,400.000000,11:45 PM,Both
